,Div,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,bet_favorite,compare
391,F2,Clermont,Nancy,H,1.72,3.3,5.25,H,True
392,F2,Dunkerque,Pau FC,D,2.62,2.9,2.87,H,False
393,F2,Rodez,Guingamp,D,3.1,2.87,2.37,A,False
394,F2,Sochaux,Le Havre,H,2.3,2.87,3.2,H,True
395,F2,Troyes,Amiens,H,2.0,3.25,3.9,H,True
396,F2,Amiens,Dunkerque,H,2.0,3.0,3.8,H,True
397,F2,Chambly,Rodez,H,2.75,2.87,2.62,A,False
398,F2,Chateauroux,Grenoble,A,3.5,2.9,2.05,A,True
399,F2,Guingamp,Troyes,A,2.7,2.87,2.6,A,True
400,F2,Le Havre,Auxerre,D,2.87,3.2,2.3,A,False
401,F2,Nancy,Toulouse,A,2.5,3.0,2.62,H,False
402,F2,Niort,Clermont,H,3.5,3.1,2.0,A,False
403,F2,Paris FC,Sochaux,D,2.15,3.1,3.3,H,False
404,F2,Pau FC,Caen,H,3.0,2.9,2.6,A,False
405,F2,Valenciennes,Ajaccio,D,2.75,2.87,2.5,A,False
406,F2,Troyes,Paris FC,H,1.95,3.1,4.33,H,True
407,F2,Auxerre,Niort,H,2.0,3.25,3.75,H,True
408,F2,Caen,Grenoble,D,2.6,2.8,3.0,H,False
409,F2,Chambly,Valenciennes,A,3.1,2.8,2.55,A,True
410,F2,Clermont,Pau FC,H,1.61,3.5,6.0,H,True
411,F2,Dunkerque,Chateauroux,H,2.3,2.9,3.5,H,True
412,F2,Rodez,Amiens,A,3.5,2.75,2.4,A,True
413,F2,Sochaux,Nancy,D,2.2,2.9,3.75,H,False
414,F2,Toulouse,Guingamp,D,2.3,3.2,3.1,H,False
415,F2,Ajaccio,Le Havre,D,2.25,3.0,3.4,H,False
416,F2,Caen,Troyes,D,3.1,3.0,2.45,A,False
417,F2,Amiens,Chambly,D,1.83,3.1,5.25,H,False
418,F2,Chateauroux,Toulouse,A,3.8,3.2,2.05,A,True
419,F2,Grenoble,Dunkerque,H,1.75,3.1,5.5,H,True
420,F2,Guingamp,Valenciennes,D,1.95,3.3,4.2,H,False
421,F2,Nancy,Auxerre,D,3.2,2.9,2.45,A,False
422,F2,Niort,Ajaccio,H,2.9,2.87,2.7,A,False
423,F2,Paris FC,Rodez,D,1.95,3.25,4.0,H,False
424,F2,Le Havre,Clermont,D,3.6,3.1,2.15,A,False
425,F2,Nancy,Troyes,A,3.8,3.0,2.15,A,True
426,F2,Niort,Grenoble,D,3.0,3.0,2.5,A,False
427,F2,Pau FC,Sochaux,D,2.87,2.75,2.87,D,True
428,F2,Ajaccio,Nancy,H,2.5,3.0,3.25,H,True
429,F2,Auxerre,Pau FC,H,1.8,3.8,4.33,H,True
430,F2,Chambly,Guingamp,H,3.5,3.1,2.15,A,False
431,F2,Dunkerque,Caen,A,3.1,3.0,2.45,A,True
432,F2,Rodez,Chateauroux,D,2.05,3.1,3.8,H,False
433,F2,Sochaux,Grenoble,D,3.0,3.0,2.55,A,False
434,F2,Troyes,Niort,H,1.57,4.0,5.5,H,True
435,F2,Valenciennes,Amiens,A,2.9,2.9,2.5,A,True
436,F2,Clermont,Paris FC,H,2.1,3.1,3.75,H,True
437,F2,Toulouse,Le Havre,H,2.0,3.3,3.75,H,True
438,F2,Amiens,Ajaccio,D,2.15,3.0,3.75,H,False
439,F2,Caen,Sochaux,A,2.45,2.8,3.3,H,False
440,F2,Chateauroux,Clermont,A,6.5,3.6,1.57,A,True
441,F2,Dunkerque,Auxerre,A,4.2,3.1,1.95,A,True
442,F2,Grenoble,Troyes,H,3.2,2.9,2.37,A,False
443,F2,Le Havre,Rodez,D,2.25,3.0,3.5,H,False
444,F2,Nancy,Chambly,D,2.1,3.0,3.75,H,False
445,F2,Paris FC,Guingamp,H,1.9,3.3,4.2,H,True
446,F2,Pau FC,Toulouse,A,3.75,3.1,2.1,A,True
447,F2,Ajaccio,Pau FC,H,1.85,3.1,4.33,H,True
448,F2,Auxerre,Caen,D,1.95,3.5,4.0,H,False
449,F2,Chambly,Le Havre,A,2.9,3.1,2.5,A,True
450,F2,Clermont,Grenoble,H,2.1,3.0,4.0,H,True
451,F2,Guingamp,Amiens,D,2.7,2.87,2.9,H,False
452,F2,Rodez,Niort,D,2.45,2.87,3.25,H,False
453,F2,Sochaux,Dunkerque,H,1.95,3.1,4.5,H,True
454,F2,Toulouse,Paris FC,H,2.2,3.2,3.4,H,True
455,F2,Troyes,Chateauroux,H,1.33,4.75,9.5,H,True
456,F2,Valenciennes,Nancy,A,2.7,2.9,2.7,H,False
457,F2,Chateauroux,Guingamp,A,3.3,3.1,2.3,A,True
458,F2,Dunkerque,Troyes,D,6.0,3.75,1.61,A,False
459,F2,Le Havre,Valenciennes,A,2.15,3.0,3.75,H,False
460,F2,Nancy,Rodez,D,2.2,2.8,3.8,H,False
461,F2,Niort,Amiens,A,3.3,3.0,2.37,A,True
462,F2,Paris FC,Ajaccio,D,2.1,2.9,4.2,H,False
463,F2,Pau FC,Chambly,A,2.5,2.9,2.9,H,False
464,F2,Sochaux,Clermont,D,3.4,3.0,2.37,A,False
465,F2,Grenoble,Auxerre,D,2.4,2.9,3.2,H,False
466,F2,Caen,Toulouse,D,3.4,3.0,2.3,A,False
467,F2,Toulouse,Grenoble,H,2.1,3.1,3.6,H,True
468,F2,Troyes,Sochaux,H,1.75,3.2,5.5,H,True
469,F2,Ajaccio,Caen,H,2.3,3.0,3.4,H,True
470,F2,Amiens,Le Havre,D,2.05,3.0,4.2,H,False
471,F2,Auxerre,Chateauroux,H,1.45,4.0,7.0,H,True
472,F2,Clermont,Dunkerque,H,1.5,3.8,7.0,H,True
473,F2,Guingamp,Nancy,D,2.15,3.0,3.8,H,False
474,F2,Rodez,Pau FC,H,2.15,3.0,3.8,H,True
475,F2,Clermont,Auxerre,H,1.95,3.0,4.0,H,True
476,F2,Caen,Rodez,A,2.15,2.87,3.5,H,False
477,F2,Chateauroux,Valenciennes,D,2.9,3.1,2.3,A,False
478,F2,Dunkerque,Ajaccio,H,3.75,3.2,1.95,A,False
479,F2,Grenoble,Chambly,H,1.8,3.2,4.33,H,True
480,F2,Le Havre,Guingamp,D,2.45,3.0,2.9,H,False
481,F2,Nancy,Niort,D,2.1,3.2,3.3,H,False
482,F2,Paris FC,Amiens,H,2.2,3.0,3.3,H,True
483,F2,Pau FC,Troyes,A,5.5,3.5,1.6,A,True
484,F2,Sochaux,Toulouse,A,3.25,3.0,2.25,A,True
485,F2,Valenciennes,Paris FC,H,3.3,3.2,2.3,A,False
486,F2,Chambly,Niort,D,2.37,2.9,3.0,H,False
487,F2,Toulouse,Clermont,H,2.87,3.2,2.55,A,False
488,F2,Troyes,Auxerre,H,2.0,3.1,4.2,H,True
489,F2,Ajaccio,Grenoble,H,2.45,3.0,3.1,H,True
490,F2,Amiens,Chateauroux,H,1.75,3.4,5.0,H,True
491,F2,Chambly,Caen,H,2.9,3.1,2.55,A,False
492,F2,Guingamp,Pau FC,A,1.95,3.3,4.0,H,False
493,F2,Nancy,Paris FC,D,2.9,3.2,2.5,A,False
494,F2,Niort,Le Havre,D,2.75,3.0,2.75,H,False
495,F2,Rodez,Sochaux,D,2.8,3.0,2.7,A,False
496,F2,Valenciennes,Dunkerque,H,2.05,3.0,4.0,H,True
497,F2,Auxerre,Toulouse,H,2.4,3.2,3.0,H,True
498,F2,Caen,Valenciennes,D,2.45,3.0,3.1,H,False
499,F2,Chateauroux,Chambly,H,2.45,3.0,3.2,H,True
500,F2,Clermont,Troyes,H,2.2,3.1,3.5,H,True
501,F2,Dunkerque,Rodez,D,3.0,3.1,2.45,A,False
502,F2,Grenoble,Guingamp,H,2.2,3.2,3.4,H,True
503,F2,Le Havre,Nancy,D,2.45,2.9,3.2,H,False
504,F2,Paris FC,Niort,D,1.75,3.6,4.75,H,False
505,F2,Pau FC,Amiens,H,3.4,3.2,2.2,A,False
506,F2,Sochaux,Ajaccio,A,2.55,3.1,2.87,H,False
507,F2,Ajaccio,Auxerre,D,2.4,3.1,3.1,H,False
508,F2,Amiens,Caen,D,2.2,3.0,3.5,H,False
509,F2,Chambly,Sochaux,A,3.4,2.8,2.15,A,True
510,F2,Guingamp,Dunkerque,D,1.75,3.2,4.33,H,False
511,F2,Nancy,Pau FC,H,2.0,3.0,3.6,H,True
512,F2,Niort,Chateauroux,D,2.9,3.1,2.5,A,False
513,F2,Rodez,Clermont,H,5.25,3.6,1.66,A,False
